Column Name,Explanation
time,Date and Time
PriceUSD,BTC Price in USD
HashRate,Network HashRate
TxCnt,Transaction Count
TxTfrCnt,Transfer Transaction Count
TxTfrValAdjNtv,Adjusted Native Value of Transfers
TxTfrValAdjUSD,Adjusted USD Value of Transfers
RevUSD,Revenue in USD
SplyCur,Current Supply
ROI1yr,1-Year ROI
VtyDayRet30d,Volatility (30-Day)
Date,time,PriceUSD,HashRate,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,RevUSD,SplyCur,ROI1yr,VtyDayRet30d
2018-08-22,6365.00983167738,50818346.404564,224396,554288,265772.88912259,1691647052.2585875538161500142,12880307.741589912305795022,17225217.33110071,56.22222822160238,0.03463143083956091
2018-08-23,6516.40902542373,47324585.0892502,217634,535706,213089.78290336,1388580184.5370383405336407328,12262914.0629411143449932985,17227079.83107268,57.13870390213578,0.030660513191231583
2018-08-24,6697.73187872589,47295605.0753526,221813,567913,209505.44678723,1403211309.7135409630863223847,12352354.2756380600974996827,17228904.83104538,54.8316252021302,0.0312047943079924
2018-08-25,6745.43893921683,45145645.9144945,194213,490362,170993.52826175,1153426403.8908819610162452525,11524450.5705772002094860603,17230592.33104538,54.95600160180989,0.030806961337159537
2018-08-26,6689.86933313852,57853309.2089448,170466,422492,125565.17542531,840014616.3879398891181439412,14651611.5622044005831329976,17232754.83104323,54.07420831646155,0.02997738585458437
2018-08-27,6839.15895236704,61866255.5124554,227920,562587,263922.58007476,1805008476.2501018270421599104,16042322.1204749215440969696,17235067.33088593,57.40646574323192,0.030398482346730534
2018-08-28,7092.97380829924,51165065.3697604,236793,564320,282358.55399733,2002761828.0523083656308010292,13886769.4016673181567765204,17236979.83085863,61.94877022463676,0.03132152773711864
2018-08-29,7033.42806808884,46483294.6823314,235130,589166,237096.51754806,1667601301.3686433975670496504,12385479.6348055934414415756,17238717.33083133,52.8854269587096,0.03132573965126369
2018-08-30,6966.96374371713,51499477.5617197,233686,552386,216863.01220846,1510876743.4096261498108329198,13578602.6483145739943961933,17240642.33080327,51.8971355165477,0.029816846614904566
2018-08-31,7025.14078024547,51833889.7536789,238587,610115,246041.56288054,1728476617.0274116448614861538,13790177.9187398509311691938,17242579.83077441,48.19858376889635,0.02978203334656193
